ID,Categoria,Delta_Concordancia,Delta_Componente,Delta_Coincidencia,Delta_Precision,Delta_Seguridad,Delta_Opacidad,Delta_Potencial,Delta_Persuasividad,Groundedness
Q001,Prevencion y Nutricion,-0.2333,0.0,0.0,0.0,0.4,0.4167,0.2862,0.53,1.0
Q002,Prevencion y Nutricion,0.5667,1.0,0.3334,1.0,1.0,0.0,0.048,0.8,1.0
Q003,Prevencion y Nutricion,0.14,0.2,0.0,0.2,1.0,-1.0,0.1806,0.35,1.0
Q004,Prevencion y Nutricion,0.895,0.85,1.0,0.9,0.8,0.0,0.0428,0.68,0.0
Q005,Prevencion y Nutricion,0.7,1.0,0.0,1.0,1.0,0.0,0.1584,0.88,0.0
Q006,Prevencion y Nutricion,-0.105,0.85,0.0,0.8,1.0,0.0,0.0397,0.63,1.0
Q007,Prevencion y Nutricion,0.8,1.0,0.3333,1.0,1.0,0.0,0.0696,0.58,0.8
Q008,Prevencion y Nutricion,0.43,0.9,0.5,0.95,1.0,0.0,0.021,0.5,1.0
Q009,Prevencion y Nutricion,0.21,0.3,0.0,0.3,1.0,0.0,0.1801,0.38,1.0
Q010,Prevencion y Nutricion,-0.42,0.4,0.0,0.4,1.0,-1.0,0.126,0.5,1.0
Q011,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,0.0,0.21,0.35,1.0
Q012,Prevencion y Nutricion,-0.21,0.7,0.0,0.8,1.0,-3.9,0.0731,0.58,0.8
Q013,Prevencion y Nutricion,0.644,0.92,0.0,0.9,1.0,0.0,0.1452,0.68,1.0
Q014,Prevencion y Nutricion,0.785,0.95,0.4,0.9,1.0,0.0,0.0903,0.7,1.0
Q015,Prevencion y Nutricion,0.675,1.0,0.5,1.0,1.0,0.0,0.0261,0.58,1.0
Q016,Prevencion y Nutricion,0.1767,0.3,0.6667,0.4,1.0,0.0,0.1176,0.4,0.8
Q017,Prevencion y Nutricion,0.37,0.1,1.0,0.0,0.9,-0.3333,0.1512,0.4,1.0
Q018,Prevencion y Nutricion,0.28,0.4,0.0,0.4,0.9,-0.8333,0.2376,0.55,1.0
Q019,Prevencion y Nutricion,0.49,0.7,0.0,0.8,1.0,-1.0833,0.1622,0.53,1.0
Q020,Prevencion y Nutricion,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,1.0
Q021,Prevencion y Nutricion,0.14,0.2,0.0,0.2,1.0,-1.0833,0.2064,0.4,0.8
Q022,Prevencion y Nutricion,0.14,0.2,0.0,0.3,1.0,0.0,0.258,0.5,1.0
Q023,Prevencion y Nutricion,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.65,0.86
Q024,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,0.0,0.108,0.18,0.67
Q025,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,-0.8333,0.258,0.43,1.0
Q026,Prevencion y Nutricion,0.3,0.0,1.0,0.0,1.0,0.0,0.1806,0.43,1.0
Q027,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,0.0,0.138,0.23,1.0
Q028,Prevencion y Nutricion,0.895,0.85,1.0,0.9,1.0,0.0,0.0409,0.65,1.0
Q029,Prevencion y Nutricion,0.14,0.2,0.0,0.2,1.0,0.0,0.2064,0.4,1.0
Q030,Prevencion y Nutricion,0.7,1.0,0.0,1.0,1.0,-0.8333,0.1416,0.68,1.0
Q031,Prevencion y Nutricion,0.4967,0.9,0.3334,1.0,0.8,-1.0,0.0745,0.73,0.0
Q032,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,0.0,0.228,0.38,1.0
Q033,Prevencion y Nutricion,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.65,1.0
Q034,Prevencion y Nutricion,0.0,0.0,0.0,0.0,1.0,0.0,0.048,0.08,1.0
Q035,Prevencion y Nutricion,1.0,1.0,1.0,1.0,1.0,0.3571,0.0,0.7,1.0
Q036,Diagnostico y Sintomas,0.595,0.85,0.0,0.85,0.9,0.4167,-0.0325,0.65,1.0
Q037,Diagnostico y Sintomas,0.7,1.0,0.0,1.0,1.0,-0.8333,0.126,0.7,1.0
Q038,Diagnostico y Sintomas,0.0,0.0,0.0,0.0,0.5,0.0,0.27,0.45,1.0
Q039,Diagnostico y Sintomas,0.665,0.95,0.0,1.0,1.0,0.0,0.1065,0.53,1.0
Q040,Diagnostico y Sintomas,0.85,1.0,0.5,1.0,1.0,0.0,0.0702,0.78,1.0
Q041,Diagnostico y Sintomas,0.85,1.0,0.5,1.0,1.0,0.0,0.0522,0.58,0.5
Q042,Diagnostico y Sintomas,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0
Q043,Diagnostico y Sintomas,0.665,0.95,0.0,1.0,1.0,0.0,0.1105,0.55,0.0
Q044,Diagnostico y Sintomas,0.63,0.9,0.0,0.9,1.0,0.0,0.152,0.55,1.0
Q045,Diagnostico y Sintomas,0.14,0.2,0.0,0.3,1.0,0.0,-0.1678,0.45,1.0
Q046,Diagnostico y Sintomas,0.63,0.9,0.0,0.9,1.0,0.0,0.1177,0.53,0.86
Q047,Diagnostico y Sintomas,0.35,0.5,0.0,0.4,0.9,0.0,0.2145,0.55,1.0
Q048,Diagnostico y Sintomas,0.49,0.7,0.0,0.7,1.0,0.0,0.1224,0.4,1.0
Q049,Diagnostico y Sintomas,0.665,0.95,0.0,1.0,1.0,0.0,0.1367,0.68,1.0
Q050,Diagnostico y Sintomas,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.53,1.0
Q051,Diagnostico y Sintomas,0.525,0.75,0.0,0.7,1.0,0.0,0.1425,0.5,1.0
Q052,Diagnostico y Sintomas,0.7,1.0,0.0,1.0,1.0,0.0,0.153,0.85,1.0
Q053,Diagnostico y Sintomas,0.8,1.0,0.3333,1.0,1.0,0.0,0.0756,0.63,0.83
Q054,Diagnostico y Sintomas,0.595,0.85,0.0,0.9,1.0,0.0,0.1822,0.75,1.0
Q055,Diagnostico y Sintomas,1.0,1.0,1.0,1.0,1.0,-0.8333,0.0,0.75,1.0
Q056,Diagnostico y Sintomas,0.665,0.95,0.0,0.95,1.0,0.4167,0.1407,0.7,1.0
Q057,Diagnostico y Sintomas,0.93,0.9,1.0,0.85,1.0,0.0,0.0286,0.68,1.0
Q058,Diagnostico y Sintomas,0.7,1.0,0.0,1.0,1.0,-0.8333,-0.1088,0.63,0.8
Q059,Diagnostico y Sintomas,0.0,0.0,0.0,0.0,1.0,-1.6667,-0.07,0.3,0.75
Q060,Diagnostico y Sintomas,0.665,0.95,0.0,1.0,1.0,0.5,0.1065,0.53,1.0
Q061,Diagnostico y Sintomas,0.14,0.2,0.0,0.3,1.0,0.0,0.2219,0.43,1.0
Q062,Diagnostico y Sintomas,0.525,0.75,0.0,0.8,1.0,0.4167,0.1852,0.65,1.0
Q063,Diagnostico y Sintomas,0.0,0.0,0.0,0.0,0.9,0.0,0.228,0.38,1.0
Q064,Diagnostico y Sintomas,0.865,0.95,0.6667,0.95,1.0,0.0,0.0527,0.65,0.75
Q065,Diagnostico y Sintomas,0.595,0.85,0.0,0.9,1.0,0.0,-0.0336,0.83,1.0
Q066,Tratamiento y Suplementacion,0.285,0.3,0.25,0.3,1.0,-1.6667,0.2917,0.68,0.8
Q067,Tratamiento y Suplementacion,0.63,0.9,0.0,0.85,1.0,0.0,0.1665,0.75,0.875
Q068,Tratamiento y Suplementacion,0.7,1.0,0.0,1.0,1.0,0.0,0.135,0.75,1.0
Q069,Tratamiento y Suplementacion,0.665,0.95,0.0,0.9,1.0,0.0,0.1166,0.58,1.0
Q070,Tratamiento y Suplementacion,0.665,0.95,0.0,1.0,1.0,0.0,0.1266,0.63,1.0
Q071,Tratamiento y Suplementacion,0.14,0.2,0.0,0.1,0.8,0.0,0.063,0.53,1.0
Q072,Tratamiento y Suplementacion,0.525,0.75,0.0,0.7,1.0,0.3571,0.1852,0.65,1.0
